Страна,Регион,Население
Senegal,"Western Africa",9481000
Singapore,"Southeast Asia",3567000
"South Georgia and the South Sandwich Islands",Antarctica,0
"Saint Helena","Western Africa",6000
"Svalbard and Jan Mayen","Nordic Countries",3200
"Solomon Islands",Melanesia,444000
"Sierra Leone","Western Africa",4854000
"El Salvador","Central America",6276000
"San Marino","Southern Europe",27000
Somalia,"Eastern Africa",10097000
"Saint Pierre and Miquelon","North America",7000
"Sao Tome and Principe","Central Africa",147000
Suriname,"South America",417000
Slovakia,"Eastern Europe",5398700
Slovenia,"Southern Europe",1987800
Sweden,"Nordic Countries",8861400
Swaziland,"Southern Africa",1008000
Seychelles,"Eastern Africa",77000
Syria,"Middle East",16125000
"Turks and Caicos Islands",Caribbean,17000
Chad,"Central Africa",7651000
Togo,"Western Africa",4629000
Thailand,"Southeast Asia",61399000
Tajikistan,"Southern and Central Asia",6188000
Tokelau,Polynesia,2000
Turkmenistan,"Southern and Central Asia",4459000
"East Timor","Southeast Asia",885000
Tonga,Polynesia,99000
"Trinidad and Tobago",Caribbean,1295000
Tunisia,"Northern Africa",9586000
Turkey,"Middle East",66591000
Tuvalu,Polynesia,12000
Taiwan,"Eastern Asia",22256000
Tanzania,"Eastern Africa",33517000
Uganda,"Eastern Africa",21778000
Ukraine,"Eastern Europe",50456000
"United States Minor Outlying Islands",Micronesia/Caribbean,0
Uruguay,"South America",3337000
"United States","North America",278357000
Uzbekistan,"Southern and Central Asia",24318000
"Holy See (Vatican City State)","Southern Europe",1000
"Saint Vincent and the Grenadines",Caribbean,114000
Venezuela,"South America",24170000
"Virgin Islands, British",Caribbean,21000
"Virgin Islands, U.S.",Caribbean,93000
Vietnam,"Southeast Asia",79832000
Vanuatu,Melanesia,190000
"Wallis and Futuna",Polynesia,15000
Samoa,Polynesia,180000
Yemen,"Middle East",18112000
Yugoslavia,"Southern Europe",10640000
"South Africa","Southern Africa",40377000
Zambia,"Eastern Africa",9169000
Zimbabwe,"Eastern Africa",11669000
